source,destination,journey_date,airline,stops,seasonality,price
Tiruchirappalli,Jamnagar,2021-01-07,Go First,1,1,6874
Jaipur,Siliguri,2024-09-14,Go First,1,0,7249
Tirupati,Bikaner,2026-09-09,Vistara,2,0,9619
Thrissur,Bhavnagar,2022-06-06,Air India,2,1,10800
Siliguri,Vellore,2022-12-14,Go First,1,1,7618
Mumbai,Calicut,2024-03-21,Air India,2,0,10488
Salem,Dharwad,2026-03-20,SpiceJet,2,0,9145
Kurnool,Kannur,2022-11-27,AirAsia,0,1,6185
Sangli,Ratnagiri,2024-10-04,IndiGo,1,0,7673
Surat,Ranchi,2022-08-27,IndiGo,0,0,4675
Quilon,Lucknow,2026-02-09,SpiceJet,1,0,9353
Hubli,Kottayam,2025-06-25,Air India,1,1,11932
Mumbai,Vijayawada,2022-03-13,SpiceJet,1,0,5671
Ludhiana,Kakinada,2021-07-25,Go First,1,0,4731
Nagpur,Kannur,2026-12-16,Go First,1,1,9269
Tirupati,Kottayam,2025-10-14,Go First,2,0,6773
Jhansi,Asansol,2023-10-10,AirAsia,1,0,7020
Rajahmundry,Agra,2024-01-30,SpiceJet,0,1,8275
Agra,Bareilly,2024-10-07,Vistara,0,0,5633
Varanasi,Imphal,2022-09-18,AirAsia,1,0,4615
Jabalpur,Durgapur,2026-03-24,SpiceJet,0,0,5168
Hubli,Palakkad,2021-03-22,Go First,2,0,6065
Gaya,Bikaner,2025-05-17,SpiceJet,1,1,8347
Aurangabad,Jamshedpur,2026-06-13,IndiGo,2,1,9839
Siliguri,Itanagar,2022-11-08,SpiceJet,1,1,8518
Chennai,Itanagar,2021-04-22,IndiGo,2,0,5600
Amritsar,Pune,2023-12-02,SpiceJet,1,1,6883
Dharwad,Faridabad,2025-04-02,Vistara,2,0,8226
Kannur,Bangalore,2021-08-02,Vistara,1,0,7602
Salem,Kolkata,2021-05-08,Air India,1,1,7355
Coimbatore,Allahabad,2022-06-02,SpiceJet,0,1,6781
Kakinada,Tiruchirappalli,2023-11-16,Vistara,1,1,10622
Vadodara,Tirunelveli,2022-04-15,Air India,1,0,6714
Chennai,Dhanbad,2025-03-18,SpiceJet,1,0,5645
Tezpur,Rajahmundry,2023-09-22,IndiGo,1,0,7991
Indore,Nellore,2021-06-18,Vistara,2,1,10267
Jaipur,Kurnool,2024-10-29,IndiGo,2,0,7314
Jamnagar,Gorakhpur,2026-02-27,AirAsia,1,0,6838
Udaipur,Ludhiana,2024-01-12,Go First,2,1,9251
Udaipur,Palakkad,2024-01-05,Vistara,1,1,7953
Jhansi,Allahabad,2026-03-19,Go First,2,0,7029
Kota,Dharwad,2023-01-15,SpiceJet,1,1,7127
Erode,Bareilly,2024-02-06,Go First,0,0,5774
Kochi,Allahabad,2025-07-23,SpiceJet,1,0,8428
Rourkela,Tirupati,2026-07-04,SpiceJet,0,0,4328
Surat,Jabalpur,2023-09-24,Vistara,1,0,8594
Mangalore,Faridabad,2025-10-09,AirAsia,1,0,7228
Jodhpur,Aurangabad,2024-06-09,Vistara,1,1,9020
Dehradun,Dharwad,2022-05-05,AirAsia,1,1,6016
Ujjain,Kanpur,2024-02-07,AirAsia,1,0,4739
Bhavnagar,Varanasi,2025-01-18,Air India,1,1,8818
Meerut,Bhopal,2024-01-29,IndiGo,0,1,7533
Thrissur,Bhopal,2026-07-04,IndiGo,0,0,6770
Kannur,Kollam,2025-12-10,Vistara,1,1,8069
Kanpur,Bhubaneswar,2021-09-25,SpiceJet,2,0,5584
Rajahmundry,Tezpur,2021-08-08,Air India,1,0,7727
Kochi,Ambala,2022-05-01,Go First,2,1,9417
Rajkot,Surat,2026-11-11,SpiceJet,2,1,9624
Palakkad,Jammu,2024-06-04,Go First,0,1,7404
Vijayawada,Raipur,2023-05-15,Vistara,0,1,6968
Srinagar,Nanded,2021-11-04,Air India,0,1,7795
Tezpur,Pondicherry,2026-04-09,Vistara,0,0,6900
Tiruchirappalli,Belgaum,2026-02-03,IndiGo,1,0,6883
Palakkad,Shimla,2023-03-22,SpiceJet,0,0,5713
Rourkela,Coimbatore,2023-12-25,Air India,0,1,6377
Calicut,Prayagraj,2024-03-28,SpiceJet,0,0,6566
Bikaner,Tiruchirappalli,2025-07-07,Vistara,2,0,9135
Pondicherry,Kolkata,2025-11-05,AirAsia,1,1,8978
Chennai,Chandigarh,2023-07-27,AirAsia,0,0,6379
Nellore,Kolkata,2022-12-19,SpiceJet,2,1,7156
Noida,Jamnagar,2026-07-08,IndiGo,2,0,7867
Durgapur,Dharwad,2022-03-05,Air India,1,0,8255
Kota,Belgaum,2025-06-29,Go First,0,1,6954
Dhanbad,Ambala,2024-08-17,IndiGo,2,0,7215
Sangli,Moradabad,2026-03-08,SpiceJet,0,0,5271
Gorakhpur,Rajahmundry,2026-08-04,AirAsia,2,0,5929
Aurangabad,Nanded,2022-06-21,Vistara,2,1,11160
Indore,Chennai,2023-09-08,AirAsia,1,0,6207
Delhi,Nanded,2025-07-30,IndiGo,1,0,5561
Indore,Salem,2022-09-23,SpiceJet,1,0,7122
Aurangabad,Jammu,2026-05-31,SpiceJet,1,1,9215
Visakhapatnam,Imphal,2023-02-20,Go First,1,0,4558
Warangal,Jalandhar,2024-10-24,Go First,1,0,4460
Tirupati,Bikaner,2026-06-29,Air India,2,1,12373
Faridabad,Durgapur,2025-03-26,SpiceJet,1,0,6414
Agra,Noida,2025-04-18,Air India,2,0,7684
Vadodara,Kannur,2025-04-11,SpiceJet,1,0,6568
Bhopal,Kurnool,2024-09-21,IndiGo,2,0,6336
Jodhpur,Delhi,2022-08-14,SpiceJet,1,0,4772
Asansol,Faridabad,2025-06-17,AirAsia,0,1,7535
Meerut,Gwalior,2024-07-21,AirAsia,2,0,7411
Rajkot,Jaipur,2023-08-20,AirAsia,1,0,4889
Jamnagar,Chandigarh,2022-02-16,SpiceJet,1,0,7087
Chennai,Pune,2024-08-21,IndiGo,1,0,6325
Jamnagar,Visakhapatnam,2023-09-28,Go First,2,0,8505
Amritsar,Thiruvananthapuram,2022-12-19,IndiGo,2,1,9653
Agra,Kottayam,2022-08-10,Air India,2,0,9167
Jodhpur,Ambala,2021-02-08,SpiceJet,1,0,7194
Madurai,Lucknow,2025-12-15,Vistara,1,1,11308
Tezpur,Ambala,2026-02-15,Vistara,1,0,9082
Patna,Allahabad,2025-04-12,Go First,1,0,7489
Thrissur,Bhavnagar,2021-03-31,AirAsia,2,0,5240
Nashik,Tezpur,2021-07-20,Go First,2,0,5743
Prayagraj,Gaya,2023-06-17,AirAsia,1,1,8310
Siliguri,Vijayawada,2022-07-15,AirAsia,0,0,6671
Kolkata,Dhanbad,2025-12-11,IndiGo,1,1,9367
Guwahati,Bikaner,2024-08-31,AirAsia,2,0,6027
Bhopal,Mysore,2025-02-07,Go First,1,0,5393
Kanpur,Bhavnagar,2024-10-19,IndiGo,2,0,5432
Vellore,Surat,2025-06-16,Go First,1,1,6750
Delhi,Aurangabad,2022-05-22,SpiceJet,1,1,9018
Asansol,Palakkad,2025-04-10,AirAsia,1,0,5973
Varanasi,Kanpur,2021-04-13,Go First,1,0,6251
Rourkela,Jaipur,2026-03-17,AirAsia,1,0,8409
Bhubaneswar,Visakhapatnam,2021-07-05,IndiGo,1,0,5554
Chandigarh,Allahabad,2022-07-10,SpiceJet,2,0,7297
Vadodara,Thrissur,2025-09-13,Go First,1,0,7439
Chandigarh,Kota,2025-07-30,Vistara,0,0,9050
Panaji,Jhansi,2025-12-27,Air India,1,1,9191
Guntur,Mysore,2025-01-09,IndiGo,2,1,8204
Indore,Kakinada,2022-01-11,AirAsia,1,1,8818
Pondicherry,Bangalore,2021-07-27,Vistara,1,0,6471
Raipur,Jaipur,2023-04-29,Go First,1,0,5401
Visakhapatnam,Prayagraj,2021-01-12,Vistara,1,1,7638
Ambala,Srinagar,2022-03-27,AirAsia,0,0,3245
Gaya,Agra,2024-08-19,IndiGo,1,0,5225
Bhopal,Vadodara,2025-09-21,Go First,0,0,4387
Jhansi,Gorakhpur,2026-10-04,Go First,0,0,6594
Surat,Rajkot,2021-06-27,AirAsia,1,1,7693
Chennai,Jaipur,2026-05-16,SpiceJet,2,1,10483
Kollam,Tirupati,2025-12-22,IndiGo,0,1,7367
Visakhapatnam,Jaipur,2022-06-01,Vistara,1,1,9186
Mangalore,Bhavnagar,2026-02-02,Go First,2,0,7194
Bhubaneswar,Sangli,2023-05-31,SpiceJet,2,1,7755
Erode,Kakinada,2025-06-22,SpiceJet,0,1,6950
Dhanbad,Siliguri,2023-11-11,Vistara,1,1,10715
Jaipur,Chandigarh,2021-12-16,IndiGo,2,1,6458
Bhopal,Nashik,2021-09-03,Go First,1,0,6294
Jabalpur,Gaya,2025-09-29,AirAsia,0,0,5742
Calicut,Gorakhpur,2022-03-01,Go First,1,0,5498
Kanpur,Surat,2022-03-20,Vistara,1,0,6128
Nellore,Surat,2025-10-24,Go First,0,0,7439
Tezpur,Aurangabad,2021-04-29,Air India,1,0,8310
Erode,Gaya,2021-01-26,Air India,1,1,9665
Itanagar,Jaipur,2022-08-05,AirAsia,0,0,4129
Panaji,Hubli,2025-09-16,SpiceJet,1,0,5589
Calicut,Udaipur,2024-08-21,Go First,0,0,3515
Madurai,Vijayawada,2021-07-23,AirAsia,0,0,4521
Sangli,Jammu,2026-06-13,Go First,2,1,9429
Panaji,Vijayawada,2026-09-30,IndiGo,1,0,6677
Belgaum,Solapur,2026-06-17,Go First,1,1,6433
Imphal,Prayagraj,2021-08-13,IndiGo,1,0,4966
Warangal,Nagpur,2023-11-13,Vistara,1,1,7205
Kota,Vellore,2025-10-30,Air India,1,0,8818
Tiruchirappalli,Varanasi,2026-08-12,Go First,1,0,5431
Ujjain,Kolkata,2025-11-22,IndiGo,2,1,7482
Nellore,Jammu,2025-07-15,AirAsia,2,0,6677
Itanagar,Bangalore,2024-08-23,Air India,2,0,10503
Guwahati,Jamshedpur,2022-03-10,Air India,2,0,9257
Mangalore,Kochi,2025-06-10,Vistara,1,1,9070
Thiruvananthapuram,Lucknow,2026-09-22,AirAsia,0,0,7010
Dehradun,Gaya,2024-12-09,AirAsia,1,1,6572
Visakhapatnam,Asansol,2023-03-20,Air India,1,0,8436
Srinagar,Ratnagiri,2026-07-17,SpiceJet,2,0,9892
Rourkela,Ratnagiri,2024-08-16,AirAsia,1,0,5480
Jaipur,Kanpur,2025-12-17,AirAsia,1,1,8061
Ahmedabad,Gorakhpur,2026-09-10,IndiGo,1,0,7538
Hyderabad,Jaipur,2025-02-19,Vistara,0,0,8252
Quilon,Pondicherry,2026-09-08,SpiceJet,2,0,9356
Ujjain,Kolkata,2026-01-17,Go First,1,1,8634
Kannur,Kurnool,2022-09-10,IndiGo,2,0,5477
Tirunelveli,Kochi,2026-08-29,AirAsia,1,0,4957
Tiruchirappalli,Jamshedpur,2025-12-05,Go First,1,1,8051
Belgaum,Imphal,2025-08-02,Vistara,0,0,9325
Durgapur,Jaipur,2024-09-12,IndiGo,2,0,6643
Tirupati,Sangli,2022-09-08,Vistara,0,0,8089
Visakhapatnam,Gaya,2024-06-24,AirAsia,2,1,7995
Tiruchirappalli,Kochi,2024-06-22,Go First,2,1,9872
Bhopal,Siliguri,2026-11-27,IndiGo,2,1,10093
Bangalore,Guntur,2024-06-19,Air India,1,1,9578
Dehradun,Varanasi,2022-07-18,Air India,0,0,5703
Kottayam,Mysore,2026-11-27,IndiGo,1,1,9181
Pondicherry,Gwalior,2022-09-24,Air India,1,0,9322
Thiruvananthapuram,Udaipur,2025-11-28,IndiGo,2,1,9635
Tirupati,Agra,2025-12-25,Go First,1,1,8184
Meerut,Agra,2024-06-21,SpiceJet,1,1,8370
Nellore,Jamshedpur,2026-03-07,Vistara,2,0,10778
Jalandhar,Madurai,2023-03-29,Go First,1,0,4912
Rourkela,Kanpur,2025-03-01,Go First,0,0,7651
Indore,Bhavnagar,2021-12-10,Air India,1,1,8891
Visakhapatnam,Jamshedpur,2022-01-11,Air India,2,1,8721
Jalandhar,Pune,2025-06-12,Go First,1,1,7448
Kochi,Gwalior,2023-07-09,IndiGo,1,0,5588
Salem,Durgapur,2022-08-22,Air India,0,0,6425
Thrissur,Nagpur,2026-04-06,SpiceJet,0,0,3693
Ambala,Panaji,2022-09-05,Go First,2,0,5397
Agra,Calicut,2022-05-15,IndiGo,1,1,7862
Rajkot,Jodhpur,2021-09-15,IndiGo,2,0,7641
Bangalore,Ratnagiri,2026-10-12,Go First,1,0,8222
Bhavnagar,Jamnagar,2021-01-07,Go First,1,1,6653
Jalandhar,Amritsar,2021-12-17,Go First,1,1,5854
Moradabad,Kottayam,2026-09-11,Go First,0,0,6210
Kolkata,Rourkela,2025-05-04,Vistara,1,1,8110
Jaipur,Gaya,2023-09-15,AirAsia,0,0,6101
Nagpur,Kolkata,2024-12-14,Go First,1,1,8634
Solapur,Kakinada,2026-05-15,AirAsia,1,1,6569
Tirunelveli,Jodhpur,2021-06-01,Vistara,1,1,6587
Kolkata,Dharwad,2024-06-24,Go First,2,1,9696
Ambala,Hyderabad,2023-02-22,Vistara,1,0,6886
Durgapur,Aurangabad,2022-05-25,Vistara,2,1,9784
Hubli,Erode,2023-02-05,SpiceJet,2,0,7277
Aurangabad,Kochi,2025-10-05,IndiGo,2,0,8349
Moradabad,Bhavnagar,2024-08-08,IndiGo,0,0,5847
Bhavnagar,Dhanbad,2026-01-01,Go First,2,1,9014
Jamshedpur,Faridabad,2026-01-06,IndiGo,1,1,9787
Bareilly,Rourkela,2021-08-23,IndiGo,2,0,6638
Vadodara,Siliguri,2022-10-18,IndiGo,1,0,7490
Jamshedpur,Hyderabad,2022-06-02,IndiGo,1,1,8274
Gorakhpur,Imphal,2021-05-13,Go First,1,1,8202
Guntur,Gwalior,2025-12-24,IndiGo,1,1,8852
Imphal,Dhanbad,2024-02-16,Air India,0,0,5177
Kota,Mangalore,2025-05-05,Go First,0,1,6359
Tiruchirappalli,Jhansi,2023-05-29,Go First,1,1,9131
Ranchi,Indore,2022-07-10,IndiGo,2,0,6532
Jamshedpur,Guwahati,2024-08-02,AirAsia,1,0,7343
Mysore,Moradabad,2024-04-04,Vistara,1,0,10400
Thrissur,Ratnagiri,2022-12-15,Vistara,1,1,7257
Nagpur,Allahabad,2026-07-17,IndiGo,1,0,8258
Guntur,Kannur,2022-06-16,Go First,0,1,4825
Imphal,Tirupati,2026-05-15,Go First,2,1,10023
Lucknow,Nagpur,2024-07-22,AirAsia,0,0,6023
Solapur,Ludhiana,2024-11-12,Air India,1,1,8468
Kottayam,Ahmedabad,2022-05-24,Go First,1,1,6394
Madurai,Durgapur,2023-07-13,Vistara,1,0,6198
Ranchi,Rourkela,2024-01-30,Air India,1,1,10960
Guwahati,Kurnool,2022-11-22,Go First,1,1,6835
Rajkot,Udaipur,2024-10-14,Go First,0,0,3249
Kolkata,Salem,2023-12-21,AirAsia,1,1,8430
Rajkot,Rourkela,2021-05-05,SpiceJet,1,1,7747
Kanpur,Allahabad,2025-07-22,Vistara,2,0,8587
Ahmedabad,Thiruvananthapuram,2025-12-06,SpiceJet,2,1,9159
Erode,Quilon,2022-08-12,Vistara,1,0,7365
Bhopal,Warangal,2025-02-26,Go First,0,0,5163
Kakinada,Indore,2024-01-01,SpiceJet,1,1,6111
Pune,Bikaner,2025-04-23,Go First,2,0,6566
Dharwad,Noida,2024-07-04,Air India,1,0,8995
Kakinada,Kottayam,2024-06-17,SpiceJet,0,1,5558
Kottayam,Jodhpur,2023-09-14,Air India,1,0,5651
Belgaum,Kottayam,2026-04-12,Vistara,0,0,6557
Nagpur,Aurangabad,2025-02-07,SpiceJet,1,0,5102
Pune,Nellore,2023-03-09,Vistara,1,0,6452
Kottayam,Jhansi,2024-02-20,Go First,0,0,3754
Imphal,Guntur,2024-10-20,Go First,1,0,4955
Prayagraj,Kurnool,2025-07-03,Go First,0,0,3401
Nagpur,Tirupati,2024-09-26,SpiceJet,2,0,6732
Kurnool,Nagpur,2024-09-05,Go First,1,0,5438
Quilon,Vadodara,2024-05-10,Go First,1,1,8681
Meerut,Kollam,2024-05-12,SpiceJet,0,1,6742
Siliguri,Bhubaneswar,2025-09-03,Go First,1,0,9033
Rajahmundry,Chennai,2026-04-28,Vistara,1,0,9922
Noida,Kanpur,2022-11-30,Go First,2,1,7619
Allahabad,Hyderabad,2022-03-27,Air India,0,0,6763
Jalandhar,Coimbatore,2025-08-19,AirAsia,1,0,7103
Quilon,Kannur,2021-09-13,AirAsia,1,0,5848
Nanded,Dharwad,2026-05-14,Go First,2,1,8710
Jodhpur,Moradabad,2024-11-03,Go First,1,1,9909
Solapur,Rourkela,2023-12-19,Go First,2,1,7249
Bareilly,Nashik,2024-05-07,Air India,1,1,9778
Raipur,Thrissur,2026-06-26,Vistara,2,1,11557
Tirupati,Bareilly,2024-03-24,IndiGo,2,0,7354
Warangal,Visakhapatnam,2024-04-04,IndiGo,1,0,7394
Faridabad,Jhansi,2023-11-17,AirAsia,2,1,7256
Meerut,Aurangabad,2024-01-18,Air India,0,1,10155
Agra,Ambala,2021-07-27,AirAsia,1,0,6389
Pune,Patna,2025-08-20,Vistara,2,0,8708
Warangal,Nagpur,2021-01-22,Go First,1,1,7503
Kannur,Kollam,2023-03-28,Vistara,1,0,7937
Ahmedabad,Chandigarh,2023-08-10,Go First,0,0,4443
Srinagar,Hyderabad,2025-06-15,SpiceJet,1,1,6998
Delhi,Calicut,2022-03-16,Vistara,1,0,8332
Moradabad,Mangalore,2026-07-17,Air India,2,0,8915
Bhubaneswar,Erode,2022-10-28,AirAsia,2,0,7643
Tirunelveli,Amritsar,2021-02-27,AirAsia,1,0,5670
Siliguri,Vijayawada,2023-03-03,Air India,2,0,9191
Dharwad,Guwahati,2025-06-30,AirAsia,0,1,5734
Kanpur,Dharwad,2023-10-14,IndiGo,1,0,5890
Jhansi,Vijayawada,2023-12-30,Vistara,1,1,10753
Nellore,Delhi,2023-12-08,AirAsia,1,1,8603
Ahmedabad,Siliguri,2022-04-30,SpiceJet,1,0,5006
Solapur,Kottayam,2024-06-27,AirAsia,0,1,7942
Guntur,Rajkot,2023-06-24,Air India,1,1,9116
Jodhpur,Vellore,2025-03-11,SpiceJet,2,0,9021
Panaji,Warangal,2023-10-11,AirAsia,0,0,6081
Mangalore,Tirunelveli,2025-01-21,IndiGo,0,1,5963
Kottayam,Ranchi,2022-09-06,Air India,1,0,8206
Bhubaneswar,Tezpur,2023-04-22,AirAsia,2,0,6014
Jhansi,Ahmedabad,2026-02-01,Air India,2,0,10617
Ahmedabad,Nashik,2026-03-09,AirAsia,1,0,7996
Imphal,Ambala,2021-01-13,AirAsia,1,1,7017
Kolkata,Jamnagar,2024-11-12,AirAsia,0,1,7001
Jaipur,Kanpur,2021-05-10,Vistara,2,1,7814
Warangal,Rourkela,2025-09-18,Vistara,2,0,9797
Gwalior,Kochi,2022-06-29,AirAsia,1,1,5624
Meerut,Imphal,2026-12-07,Air India,1,1,7688
Bikaner,Kannur,2025-10-04,Go First,2,0,6654
Jodhpur,Faridabad,2022-09-28,Vistara,1,0,8413
Hyderabad,Shimla,2025-09-14,Go First,0,0,4704
Jaipur,Patna,2021-05-18,SpiceJet,0,1,4792
Itanagar,Jhansi,2023-08-18,Go First,1,0,4220
Kottayam,Bhavnagar,2023-08-18,AirAsia,1,0,7505
Warangal,Siliguri,2024-08-06,Air India,1,0,7620
Ludhiana,Surat,2025-08-21,Vistara,1,0,7298
Palakkad,Vadodara,2022-12-19,AirAsia,2,1,8994
Pune,Gaya,2025-04-11,Go First,1,0,8334
Jabalpur,Coimbatore,2024-05-13,SpiceJet,1,1,8752
Agra,Surat,2024-05-16,AirAsia,1,1,7548
Nanded,Jabalpur,2025-09-03,Go First,1,0,6465
Ambala,Raipur,2024-09-14,AirAsia,0,0,5827
Guwahati,Moradabad,2023-02-20,IndiGo,1,0,6757
Prayagraj,Quilon,2021-06-11,IndiGo,1,1,8389
Shimla,Nanded,2023-06-08,SpiceJet,1,1,7119
Delhi,Surat,2023-02-18,AirAsia,0,0,5453
Thrissur,Prayagraj,2023-04-18,SpiceJet,1,0,6825
Belgaum,Hubli,2026-03-25,Go First,1,0,6363
Gorakhpur,Ludhiana,2026-07-30,SpiceJet,0,0,7909
Vijayawada,Dhanbad,2023-04-13,Vistara,1,0,7287
Nashik,Surat,2022-08-21,IndiGo,1,0,7065
Noida,Udaipur,2025-09-07,Vistara,1,0,7498
Varanasi,Hubli,2023-10-04,SpiceJet,1,0,5839
Tirupati,Rourkela,2026-07-03,SpiceJet,1,0,6398
Nagpur,Udaipur,2026-06-24,Air India,0,1,9376
Lucknow,Siliguri,2021-07-18,IndiGo,2,0,5954
Varanasi,Jaipur,2022-09-11,IndiGo,1,0,6597
Guntur,Ahmedabad,2026-06-03,AirAsia,2,1,6843
Meerut,Nanded,2025-08-12,IndiGo,0,0,7180
Bareilly,Moradabad,2024-03-20,IndiGo,2,0,5853
Chandigarh,Meerut,2022-09-02,Air India,1,0,8807
Ambala,Gorakhpur,2023-12-31,SpiceJet,0,1,6631
Jodhpur,Nellore,2023-09-24,AirAsia,1,0,6430
Kochi,Sangli,2021-05-10,IndiGo,2,1,7625
Mysore,Kannur,2021-08-18,AirAsia,0,0,5728
Kochi,Kottayam,2025-11-13,AirAsia,1,1,8475
Mangalore,Kolkata,2023-07-31,Air India,2,0,7526
Lucknow,Tezpur,2024-02-23,Go First,0,0,4438
Bangalore,Panaji,2022-08-14,AirAsia,2,0,5272
Madurai,Nellore,2023-09-12,Go First,2,0,8717
Durgapur,Imphal,2022-07-28,AirAsia,0,0,5511
Pune,Patna,2025-11-26,Air India,0,1,9253
Warangal,Quilon,2025-06-13,Vistara,0,1,10015
Jhansi,Kota,2023-07-24,Vistara,2,0,8534
Solapur,Noida,2025-04-06,IndiGo,1,0,6730
Lucknow,Guwahati,2024-01-03,Air India,2,1,12545
Coimbatore,Vadodara,2025-05-15,Vistara,1,1,8010
Mumbai,Dhanbad,2025-12-27,Vistara,1,1,8072
Guwahati,Dehradun,2025-11-01,SpiceJet,2,1,7020
Guwahati,Gorakhpur,2022-01-17,Go First,1,1,6430
Bhavnagar,Jalandhar,2025-05-08,IndiGo,1,1,9377
Thiruvananthapuram,Tezpur,2025-04-09,Air India,1,0,7797
Aurangabad,Kottayam,2022-08-21,IndiGo,1,0,5924
Jalandhar,Bikaner,2026-06-07,IndiGo,1,1,7542
Tirupati,Rajahmundry,2026-07-24,Go First,1,0,6812
Nagpur,Calicut,2021-01-28,SpiceJet,1,1,7818
Durgapur,Jhansi,2024-10-03,SpiceJet,1,0,5940
Prayagraj,Thrissur,2023-04-03,SpiceJet,1,0,5294
Dhanbad,Bhavnagar,2026-07-05,Go First,1,0,6687
Bareilly,Itanagar,2025-02-04,IndiGo,1,0,8087
Amritsar,Tezpur,2021-04-21,AirAsia,2,0,7430
Jamshedpur,Bhavnagar,2021-10-11,SpiceJet,2,0,5967
Bikaner,Agra,2023-11-01,AirAsia,1,1,9087
Gwalior,Lucknow,2026-01-14,Go First,2,1,10550
Meerut,Kottayam,2025-09-10,Go First,0,0,6302
Meerut,Prayagraj,2021-12-15,IndiGo,1,1,8554
Gaya,Thiruvananthapuram,2021-07-01,Go First,2,0,6339
Patna,Delhi,2022-02-08,Vistara,1,0,8322
Nanded,Palakkad,2023-06-25,SpiceJet,1,1,7710
Warangal,Siliguri,2026-08-12,Air India,1,0,7238
Patna,Bikaner,2025-08-31,IndiGo,0,0,6978
Faridabad,Calicut,2024-11-06,SpiceJet,1,1,8693
